Year,Player,Pos,Age,Tm,G,GS,PTS,Minutes Played,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,Joel Anthony,C,32,SAS,19,0,24,122,11.6,0.64,7.6,20.9,14.4,3.4,0.8,4,17,8.7,0.1,0.2,0.4,0.141,-3.1,2.5,-0.6,0,10,16,0.625,0,0,0,10,16,0.625,0.625,5,8,0.625,8,23,27,3,2,7,4,11,25
2016,Trevor Ariza,SF,29,HOU,80,80,899,2773,12.3,0.548,2.1,15.9,9,8.8,2.5,0.6,8,14.1,2.8,3.2,6,0.104,0.7,1,1.7,2.6,326,798,0.409,191,555,0.344,135,243,0.556,0.528,93,126,0.738,54,405,399,191,165,23,74,133,936
2016,Darrell Arthur,PF,26,DEN,41,7,252,639,12.8,0.583,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,0.081,0.3,-0.6,-0.3,0.3,95,215,0.442,53,117,0.453,42,98,0.429,0.565,19,22,0.864,25,87,97,46,21,24,36,76,262
2016,Omer Asik,C,28,NOP,31,19,82,482,9.8,0.517,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,0.4,0.6,1,0.1,-4.3,1.2,-3.1,-0.1,31,65,0.477,0,0,0,31,65,0.477,0.477,23,39,0.59,48,115,142,16,6,11,14,51,85
2016,D.J. Augustin,PG,27,ORL,78,20,591,1538,11,0.524,1,7.4,4.1,20.4,1,0.1,13.3,19.4,0.7,0.5,1.2,0.038,-0.9,-3.3,-4.2,-0.9,195,517,0.377,95,274,0.347,100,243,0.412,0.469,131,161,0.814,15,102,102,228,35,1,90,101,616
2016,Luke Babbitt,SF,25,MIA,68,55,311,1065,8.4,0.563,1.3,13.5,7.4,4.8,1,0.8,8,13,0.8,1,1.8,0.082,-1,-0.8,-1.8,0.1,113,281,0.402,87,210,0.414,26,71,0.366,0.557,11,15,0.733,13,129,124,39,24,13,25,118,324
2016,Ron Baker,SG,21,NYK,52,13,206,857,7.5,0.456,1.5,10.8,6.2,17.3,2,0.8,19.2,14.8,-0.6,0.5,-0.1,-0.008,-3.5,-0.9,-4.4,-0.5,82,217,0.378,23,86,0.267,59,131,0.45,0.431,28,43,0.651,12,86,85,117,38,9,56,74,215
2016,Wade Baldwin,PG,18,MEM,33,1,102,405,6.4,0.404,3,10.2,6.5,22.8,2.3,1.7,23.4,19.2,-0.9,0.5,-0.4,-0.045,-6.3,0.6,-5.8,-0.4,36,115,0.313,3,22,0.136,33,93,0.355,0.326,31,37,0.838,11,35,40,66,20,8,40,40,106
2016,Leandro Barbosa,SG,32,PHO,67,0,402,963,11.5,0.509,1.6,10.3,5.9,13,1.5,0.7,10.4,20,0.3,0.4,0.6,0.031,-2,-2.1,-4.1,-0.5,172,392,0.439,35,98,0.357,137,294,0.466,0.483,40,45,0.889,15,89,90,88,35,9,48,82,419
2016,J.J. Barea,PG,30,DAL,35,6,366,771,17.2,0.521,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2,0.8,0.5,1.3,0.08,2,-2.6,-0.6,0.3,142,343,0.414,53,148,0.358,89,195,0.456,0.491,44,51,0.863,9,75,73,210,16,1,63,30,381
2016,Harrison Barnes,PF,22,DAL,79,79,1457,2803,16.3,0.541,3.7,13.2,8.2,7.8,1.2,0.5,6.8,25.3,2.5,2.1,4.6,0.079,-0.7,-1.2,-1.9,0.1,599,1280,0.468,78,222,0.351,521,1058,0.492,0.498,242,281,0.861,94,303,345,128,74,17,102,128,1518
2016,Matt Barnes,SF,34,TOT,74,18,506,1777,10.3,0.514,4.6,19.9,12.4,15.6,1.3,1.3,17.3,15.6,0.3,1.7,2,0.053,-1.2,0.6,-0.6,0.6,185,473,0.391,87,263,0.331,98,210,0.467,0.483,70,89,0.787,70,317,337,211,54,30,107,185,527
2016,Matt Barnes,SF,34,SAC,54,13,396,1367,10.2,0.501,4.7,20.1,12.5,16.2,1.3,1.1,16.8,16.4,-0.1,1.1,1,0.034,-1.2,0.3,-1,0.4,147,383,0.384,69,211,0.327,78,172,0.453,0.474,50,66,0.758,55,241,258,162,40,19,83,138,413
2016,Matt Barnes,SF,34,GSW,20,5,109,410,10.7,0.569,4.3,19.1,12.2,13.7,1.4,1.7,19.3,13.1,0.3,0.6,1,0.115,-1,1.6,0.6,0.3,38,90,0.422,18,52,0.346,20,38,0.526,0.522,20,23,0.87,15,76,79,49,13,10,24,47,114
2016,Will Barton,SG,24,DEN,60,19,787,1705,15.5,0.547,3.8,12.8,8.4,17.7,1.4,1.3,11.5,21.1,2.5,0.8,3.3,0.093,1.3,-1,0.3,1,295,666,0.443,87,235,0.37,208,431,0.483,0.508,143,190,0.753,58,200,224,225,54,32,97,110,820
2016,Brandon Bass,PF,29,LAC,52,0,280,577,19.7,0.65,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,1.6,0.6,2.2,0.186,0.1,-0.8,-0.7,0.2,107,186,0.575,1,3,0.333,106,183,0.579,0.578,77,88,0.875,43,86,112,23,16,13,29,45,292
2016,Nicolas Batum,SG,26,CHO,77,77,1117,2617,15.8,0.529,1.9,18.4,10.1,27.6,1.6,1,15,22.3,1.7,2.8,4.5,0.083,0.6,0.6,1.2,2.1,393,975,0.403,135,405,0.333,258,570,0.453,0.472,243,284,0.856,46,435,418,496,96,33,194,109,1164
2016,Jerryd Bayless,PG,26,PHI,3,1,32,71,8.7,0.453,4.6,14,9.3,29.4,0,0,19.8,27.7,-0.1,0,-0.1,-0.067,-5.2,-2.9,-8.2,-0.1,11,32,0.344,2,5,0.4,9,27,0.333,0.375,9,10,0.9,3,9,10,14,0,0,9,4,33
2016,Aron Baynes,C,28,DET,75,2,350,1163,13.1,0.57,10,21.6,15.6,3.9,0.7,2.8,13.5,14.1,1.4,1.5,3,0.123,-2.9,1.1,-1.8,0.1,143,279,0.513,0,0,0,143,279,0.513,0.513,79,94,0.84,111,222,290,35,19,44,50,166,365
2016,Kent Bazemore,SF,25,ATL,73,64,769,1963,11.5,0.504,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,2.1,0.053,-2,1.2,-0.8,0.6,295,721,0.409,92,266,0.346,203,455,0.446,0.473,119,168,0.708,45,186,201,193,102,59,125,165,801
2016,Bradley Beal,SG,21,WAS,77,77,1708,2684,20.1,0.604,2.2,7.8,5,16.2,1.5,0.7,9.6,26.5,6.8,1.6,8.5,0.151,4.5,-2.4,2.2,2.8,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,186,208,291,93,24,157,169,1779
2016,Malik Beasley,SG,18,DEN,22,1,80,165,13.7,0.536,3.4,8,5.7,10.2,2.1,0,9.4,22,0.1,0.1,0.2,0.057,-0.5,-3.5,-3.9,-0.1,33,73,0.452,9,28,0.321,24,45,0.533,0.514,8,10,0.8,5,12,15,12,8,0,8,10,83
